date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,268.77,268.81,267.4,267.84,86655749,256.1160721158,256.1541888807,254.8105729202,255.2298573334,86655749,0.0,1.0
2018-01-03 00:00:00+00:00,270.47,270.64,268.96,268.96,90070416,257.7360346213,257.8980308718,256.2971267488,256.2971267488,90070416,0.0,1.0
2018-01-04 00:00:00+00:00,271.61,272.16,270.54,271.2,80636408,258.8223624191,259.3464679356,257.8027389598,258.4316655795,80636408,0.0,1.0
2018-01-05 00:00:00+00:00,273.42,273.56,271.95,272.51,83523995,260.5471460279,260.6805547048,259.1463549202,259.6799896279,83523995,0.0,1.0
2018-01-08 00:00:00+00:00,273.92,274.1,272.98,273.31,57319192,261.0236055883,261.19513103,260.1278616147,260.4423249246,57319192,0.0,1.0
2018-01-09 00:00:00+00:00,274.54,275.25,274.08,274.4,57253957,261.6144154432,262.290988019,261.1760726476,261.4810067663,57253957,0.0,1.0
2018-01-10 00:00:00+00:00,274.12,274.42,272.92,273.68,69574318,261.2141894125,261.5000651487,260.0706864674,260.7949049993,69574318,0.0,1.0
2018-01-11 00:00:00+00:00,276.12,276.12,274.56,274.75,62361455,263.1200276542,263.1200276542,261.6334738256,261.8145284586,62361455,0.0,1.0
2018-01-12 00:00:00+00:00,277.92,278.11,276.08,276.42,90816076,264.8352820718,265.0163367047,263.0819108894,263.4059033905,90816076,0.0,1.0
2018-01-16 00:00:00+00:00,276.97,280.09,276.18,279.35,106555142,263.9300089069,266.903116564,263.1772028015,266.1979564146,106555142,0.0,1.0
2018-01-17 00:00:00+00:00,279.61,280.05,276.97,278.03,113258799,266.445715386,266.8649997992,263.9300089069,264.9401031751,113258799,0.0,1.0
2018-01-18 00:00:00+00:00,279.14,279.96,278.58,279.48,100728006,265.9978433992,266.7792370783,265.4642086915,266.3218359003,100728006,0.0,1.0
2018-01-19 00:00:00+00:00,280.41,280.41,279.14,279.8,140920098,267.2080506827,267.2080506827,265.9978433992,266.626770019,140920098,0.0,1.0
2018-01-22 00:00:00+00:00,282.69,282.69,280.11,280.17,91322408,269.3807062783,269.3807062783,266.9221749465,266.9793500937,91322408,0.0,1.0
2018-01-23 00:00:00+00:00,283.29,283.62,282.37,282.74,97084700,269.9524577508,270.2669210607,269.0757721596,269.4283522343,97084700,0.0,1.0
2018-01-24 00:00:00+00:00,283.18,284.7,281.84,284.02,134816117,269.8476366475,271.2960737113,268.5707250256,270.6480887091,134816117,0.0,1.0
2018-01-25 00:00:00+00:00,283.3,284.27,282.4,284.16,84587313,269.961986942,270.8863184893,269.1043597333,270.781497386,84587313,0.0,1.0
2018-01-26 00:00:00+00:00,286.58,286.63,283.96,284.25,107743119,273.0875616585,273.1352076145,270.5909135618,270.8672601069,107743119,0.0,1.0
2018-01-29 00:00:00+00:00,284.68,286.43,284.5,285.93,90118337,271.2770153288,272.9446237904,271.1054898871,272.4681642299,90118337,0.0,1.0
2018-01-30 00:00:00+00:00,281.76,284.74,281.22,282.6,131796419,268.4944914959,271.3341904761,267.9799151706,269.2949435574,131796419,0.0,1.0
2018-01-31 00:00:00+00:00,281.9,283.3,280.68,282.73,118948131,268.6279001728,269.961986942,267.4653388454,269.4188230431,118948131,0.0,1.0
2018-02-01 00:00:00+00:00,281.58,283.06,280.68,281.07,90102470,268.3229660541,269.733286353,267.4653388454,267.8369773025,90102470,0.0,1.0
2018-02-02 00:00:00+00:00,275.45,280.23,275.41,280.08,173174790,262.4815718432,267.036525241,262.4434550784,266.8935873728,173174790,0.0,1.0
